run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,duration_sec
72,eval,vanilla_cma,sphere,40,0.1,101,200,10,ok,,200,20,123.44297460271906,1.0,0.0,0.01355886459350586
73,eval,vanilla_cma,sphere,40,0.1,102,200,10,ok,,200,20,144.71589513305003,1.0,0.0,0.013700008392333984
74,eval,vanilla_cma,sphere,40,0.1,103,200,10,ok,,200,20,92.1422770015972,1.0,0.0,0.012681961059570312
75,eval,vanilla_cma,sphere,40,0.1,104,200,10,ok,,200,20,99.98080555960328,1.0,0.0,0.013712882995605469
76,eval,vanilla_cma,sphere,40,0.1,105,200,10,ok,,200,20,123.56070083861978,1.0,0.0,0.012745857238769531
77,eval,vanilla_cma,sphere,40,0.1,106,200,10,ok,,200,20,117.6775202916358,1.0,0.0,0.01260685920715332
78,eval,vanilla_cma,sphere,40,0.1,107,200,10,ok,,200,20,111.81255408419744,1.0,0.0,0.012627840042114258
79,eval,vanilla_cma,sphere,40,0.1,108,200,10,ok,,200,20,83.94737116925026,1.0,0.0,0.015042781829833984
80,eval,vanilla_cma,sphere,40,0.1,109,200,10,ok,,200,20,74.28655689704156,1.0,0.0,0.012692928314208984
81,eval,vanilla_cma,sphere,40,0.2,100,200,10,ok,,200,20,58.101484998719144,1.0,0.0,0.015872955322265625
82,eval,vanilla_cma,sphere,40,0.2,101,200,10,ok,,200,20,136.19180240107858,1.0,0.0,0.016454219818115234
83,eval,vanilla_cma,sphere,40,0.2,102,200,10,ok,,200,20,138.97436393805285,1.0,0.0,0.014962911605834961
84,eval,vanilla_cma,sphere,40,0.2,103,200,10,ok,,200,20,92.07876036579091,1.0,0.0,0.015749216079711914
85,eval,vanilla_cma,sphere,40,0.2,104,200,10,ok,,200,20,98.49467923773503,1.0,0.0,0.012453079223632812
86,eval,vanilla_cma,sphere,40,0.2,105,200,10,ok,,200,20,123.22102787280024,1.0,0.0,0.012440919876098633
87,eval,vanilla_cma,sphere,40,0.2,106,200,10,ok,,200,20,120.79093596931435,1.0,0.0,0.013336896896362305
88,eval,vanilla_cma,sphere,40,0.2,107,200,10,ok,,200,20,74.99283271344729,1.0,0.0,0.01238107681274414
89,eval,vanilla_cma,sphere,40,0.2,108,200,10,ok,,200,20,83.99478442991406,1.0,0.0,0.016866207122802734
90,eval,vanilla_cma,sphere,40,0.2,109,200,10,ok,,200,20,74.30782813129115,1.0,0.0,0.012399673461914062
91,eval,vanilla_cma,rosenbrock,10,0.0,100,200,10,ok,,200,20,447.30237938982066,1.0,0.0,0.008509159088134766
92,eval,vanilla_cma,rosenbrock,10,0.0,101,200,10,ok,,200,20,1200.643619766048,1.0,0.0,0.046987056732177734
93,eval,vanilla_cma,rosenbrock,10,0.0,102,200,10,ok,,200,20,301.0134634186165,1.0,0.0,0.008343935012817383
94,eval,vanilla_cma,rosenbrock,10,0.0,103,200,10,ok,,200,20,442.61135379617645,1.0,0.0,0.009157180786132812
95,eval,vanilla_cma,rosenbrock,10,0.0,104,200,10,ok,,200,20,727.0535573097209,1.0,0.0,0.008867025375366211
