function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value,variant_id,variant_group,lr_enabled,lr_ema_alpha,lr_snr_up_threshold,lr_snr_down_threshold,lr_sigma_up_factor,lr_sigma_down_factor,lr_sigma_min_ratio,lr_sigma_max_ratio
ellipsoid_cond1e6,40,0.2,lr_adapt_proxy,100,974680.7746896397,265010.63036108087,-620722.983376712,0.99,0.01,4.0161556854627e-18,0.2718947959607249,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rastrigin,10,0.0,lr_adapt_proxy,100,32.88772565234917,19.127858142401088,-10.238330294255448,0.65,0.35,2.6433140750645974e-06,0.5816108521640744,5.008384563280289e-06,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rastrigin,10,0.1,lr_adapt_proxy,100,27.86170059955571,17.52123323977818,-7.803311664806655,0.64,0.36,2.0751639472212628e-05,0.6288644577588196,3.735295104998273e-05,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rastrigin,10,0.2,lr_adapt_proxy,100,29.811595447831188,18.26776504378212,-9.463769112596308,0.6,0.4,4.821815867885519e-05,0.6127738139929412,8.265970059232318e-05,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rastrigin,20,0.0,lr_adapt_proxy,100,147.32603598588292,65.41916429983056,-79.64252872239359,0.98,0.02,5.7672036158171394e-18,0.4440434704026052,1.887448456085609e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rastrigin,20,0.1,lr_adapt_proxy,100,147.47632172389268,71.43481333480527,-74.22760965796158,1.0,0.0,3.89655984509591e-18,0.4843815773256575,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rastrigin,20,0.2,lr_adapt_proxy,100,145.7451324744635,69.6982653433534,-73.86939853029372,0.99,0.01,4.0161556854627e-18,0.47822019274342126,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rastrigin,40,0.0,lr_adapt_proxy,100,396.62080226754233,244.02674197322537,-155.34043173927688,0.99,0.01,4.0161556854627e-18,0.6152646068438338,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rastrigin,40,0.1,lr_adapt_proxy,100,395.9868836951423,245.53649888323687,-146.04124322560892,0.97,0.03,4.670683307897806e-18,0.6200622015356135,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rastrigin,40,0.2,lr_adapt_proxy,100,398.0030655310753,247.72678560335066,-144.90640000078514,0.99,0.01,4.531861061109545e-18,0.6224243154328384,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
