slice_level,variant_id,variant_group,function,dimension,n_runs,mean_proxy_time_to_first_floor_gen,median_proxy_time_to_first_floor_gen,mean_proxy_fraction_at_floor,median_proxy_fraction_at_floor,mean_proxy_n_floor_entries,median_proxy_n_floor_entries,mean_proxy_n_floor_exits,median_proxy_n_floor_exits,mean_proxy_n_down_steps,median_proxy_n_down_steps,mean_proxy_n_up_steps,median_proxy_n_up_steps,mean_proxy_n_neutral_steps,median_proxy_n_neutral_steps,mean_proxy_sigma_min_seen,median_proxy_sigma_min_seen,mean_proxy_sigma_max_seen,median_proxy_sigma_max_seen
function_dimension,geom_k093_r010,geometry,sphere,20.0,300,63.13,63.0,0.37333333333333335,0.38,1.1966666666666668,1.0,0.19666666666666666,0.0,32.17666666666667,32.0,20.696666666666665,20.5,47.126666666666665,47.0,0.19999999999999998,0.2,1.8461406612071842,1.806296222947472
function_dimension,geom_k093_r010,geometry,sphere,40.0,300,99.23,101.0,0.013733333333333334,0.0,0.42333333333333334,0.0,0.13666666666666666,0.0,8.893333333333333,8.0,35.156666666666666,35.0,55.95,56.5,0.22614463236996887,0.2164392422938432,1.7989114037873488,1.7681240836141812
function_dimension,geom_k093_r020,geometry,ellipsoid_cond1e6,10.0,300,27.04,26.0,0.6485666666666666,0.66,3.66,3.0,2.6766666666666667,2.0,77.27,79.0,0.99,0.0,21.74,20.0,0.39999999999999997,0.4,1.8663564034564744,1.8243818016321245
function_dimension,geom_k093_r020,geometry,ellipsoid_cond1e6,20.0,300,32.34,31.5,0.6305000000000001,0.64,2.44,2.0,1.44,1.0,75.38,76.0,1.66,1.0,22.96,22.0,0.39999999999999997,0.4,1.7808090923226882,1.7527241425767786
function_dimension,geom_k093_r020,geometry,ellipsoid_cond1e6,40.0,300,46.94,46.0,0.4947,0.495,2.32,2.0,1.33,1.0,60.39,60.0,4.46,4.0,35.15,34.5,0.39999999999999997,0.4,1.7750116026347618,1.7658681080954812
function_dimension,geom_k093_r020,geometry,rastrigin,10.0,300,31.54,31.0,0.6506333333333333,0.66,3.14,3.0,2.19,2.0,80.71666666666667,81.0,3.506666666666667,3.0,15.776666666666667,16.0,0.39999999999999997,0.4,1.9385536303662312,1.8942933215910305
function_dimension,geom_k093_r020,geometry,rastrigin,20.0,300,36.736666666666665,36.0,0.6278,0.63,1.5433333333333332,1.0,0.5566666666666666,0.0,76.00666666666666,76.0,5.756666666666667,6.0,18.236666666666668,18.0,0.39999999999999997,0.4,1.7944202640565285,1.752225413031232
function_dimension,geom_k093_r020,geometry,rastrigin,40.0,300,42.416666666666664,43.0,0.5627,0.56,1.7066666666666668,1.0,0.7233333333333334,0.5,69.68,69.0,6.86,7.0,23.46,23.0,0.39999999999999997,0.4,1.7662611609131362,1.7599812629830451
function_dimension,geom_k093_r020,geometry,rosenbrock,10.0,300,26.343333333333334,26.0,0.7288,0.73,1.76,1.0,0.7866666666666666,0.0,75.04,75.0,1.3733333333333333,1.0,23.586666666666666,24.0,0.39999999999999997,0.4,1.7650604253541262,1.7575193495506012
function_dimension,geom_k093_r020,geometry,rosenbrock,20.0,300,38.50333333333333,39.0,0.6147000000000001,0.62,1.4433333333333334,1.0,0.44333333333333336,0.0,61.57666666666667,62.0,4.153333333333333,4.0,34.27,34.0,0.39999999999999997,0.4,1.7374614352114077,1.733631802034101
function_dimension,geom_k093_r020,geometry,rosenbrock,40.0,300,62.526666666666664,62.0,0.3679666666666666,0.37,1.59,1.0,0.59,0.0,35.10333333333333,36.0,12.84,12.0,52.056666666666665,52.0,0.39999999999999997,0.4,1.7549863541800248,1.7551823481309499
function_dimension,geom_k093_r020,geometry,sphere,10.0,300,30.503333333333334,30.0,0.7008666666666666,0.7,1.2766666666666666,1.0,0.27666666666666667,0.0,63.66,63.5,7.423333333333333,7.0,28.916666666666668,29.0,0.39999999999999997,0.4,1.9880571411354504,1.9449104735478753
function_dimension,geom_k093_r020,geometry,sphere,20.0,300,46.473333333333336,46.0,0.5414666666666667,0.54,1.1666666666666667,1.0,0.16666666666666666,0.0,47.53,47.5,16.16,16.0,36.31,37.0,0.39999999999999997,0.4,1.8461406612071842,1.806296222947472
function_dimension,geom_k093_r020,geometry,sphere,40.0,300,74.12666666666667,75.0,0.2504,0.25,1.53,1.0,0.53,0.0,20.236666666666668,20.0,28.67,28.5,51.093333333333334,51.0,0.39999999999999997,0.4,1.7989114037873488,1.7681240836141812
function_dimension,geom_k095_r005,geometry,ellipsoid_cond1e6,10.0,300,78.75,81.0,0.11486666666666664,0.07,1.77,2.0,1.3733333333333333,1.0,44.29,41.0,8.363333333333333,7.0,47.346666666666664,49.0,0.10885073581942782,0.1,1.892614167301747,1.853602406788845
function_dimension,geom_k095_r005,geometry,ellipsoid_cond1e6,20.0,300,92.76,101.0,0.0473,0.0,0.7433333333333333,0.0,0.5233333333333333,0.0,44.696666666666665,45.0,6.246666666666667,5.0,49.056666666666665,49.0,0.12131585905616606,0.10331537992425215,1.8236531067567057,1.793276075954954
function_dimension,geom_k095_r005,geometry,ellipsoid_cond1e6,40.0,300,100.38,101.0,0.0031000000000000003,0.0,0.1,0.0,0.06,0.0,38.51,39.0,7.23,6.0,54.26,54.0,0.15635894542597978,0.14962137258894992,1.8130290146241388,1.80394457830931
function_dimension,geom_k095_r005,geometry,rastrigin,10.0,300,58.47666666666667,58.0,0.4165333333333333,0.42,1.4066666666666667,1.0,0.4066666666666667,0.0,63.11333333333334,63.0,6.276666666666666,6.0,30.61,30.0,0.09999999999999999,0.1,1.9501320703556568,1.917532906423166
function_dimension,geom_k095_r005,geometry,rastrigin,20.0,300,74.70333333333333,74.0,0.2549,0.26,1.2833333333333334,1.0,0.2866666666666667,0.0,50.25,50.0,10.553333333333333,10.0,39.196666666666665,39.0,0.09999999999999999,0.1,1.813092302896254,1.7841381515664094
