function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value
ellipsoid_cond1e6,40,0.1,pop4x,100,974680.8919976151,1931238.5990544236,972682.0325023015,0.08,0.92,6.928021197254875e-17,1.9814060323849552,1.558804769382347e-16
ellipsoid_cond1e6,40,0.2,lr_adapt_proxy,100,974680.7746896396,294630.43796168757,-620317.0468367639,0.99,0.01,4.266322730718234e-18,0.3022840355659057,1.2287009464468514e-17
ellipsoid_cond1e6,40,0.2,pop4x,100,974680.7746896396,1931238.519590632,972682.1525731783,0.08,0.92,6.928021197254875e-17,1.981406189329611,1.558804769382347e-16
rastrigin,10,0.0,lr_adapt_proxy,100,32.88772565234917,22.53477261077699,-6.4812361285591304,0.61,0.39,0.001402171019698284,0.6852031316786217,0.0015774423971605697
rastrigin,10,0.0,pop4x,100,32.88772565234917,51.404381495070425,21.080552472854528,0.13,0.87,3.5371953550330525e-15,1.5630263411479965,6.366951639059494e-15
rastrigin,10,0.1,lr_adapt_proxy,100,27.86170059955571,21.402377574040663,-3.338256124342025,0.55,0.45,0.007627245069920197,0.768164796601897,0.008196442463197824
rastrigin,10,0.1,pop4x,100,27.86170059955571,50.75887236223045,20.580307969421206,0.17,0.83,3.071760453520344e-14,1.8218152973418953,4.914816725632551e-14
rastrigin,10,0.2,lr_adapt_proxy,100,29.811595447831188,21.709683741668556,-5.069016704637311,0.55,0.45,0.011498623474520207,0.7282295165872429,0.011998563625586304
rastrigin,10,0.2,pop4x,100,29.811595447831188,50.78296296342995,21.301515090778008,0.13,0.87,1.493426655074876e-14,1.7034634410056186,2.560159980128359e-14
rastrigin,20,0.0,lr_adapt_proxy,100,147.32603598588292,104.49298596865736,-38.84128583220361,0.89,0.11,1.8019328432324396e-14,0.7092635410259059,2.9486173798349006e-14
rastrigin,20,0.0,pop4x,100,147.32603598588292,161.19057025191165,15.142206209966105,0.29,0.71,9.668752478190519e-08,1.0941078348660467,1.289166997092069e-07
rastrigin,20,0.1,lr_adapt_proxy,100,147.47632172389268,110.92063416300564,-35.1046767249787,0.92,0.08,6.166069759616457e-17,0.7521250385582092,1.5308862851461548e-16
rastrigin,20,0.1,pop4x,100,147.47632172389268,160.4387522412286,10.702036748767355,0.25,0.75,6.862602683049756e-08,1.0878949947070444,9.322781003388348e-08
rastrigin,20,0.2,lr_adapt_proxy,100,145.7451324744635,108.5709722961257,-31.262941445022392,0.93,0.07,1.2733079538420982e-16,0.7449372095850185,2.6964168434303257e-16
rastrigin,20,0.2,pop4x,100,145.7451324744635,158.3672300618025,11.672839492268295,0.26,0.74,2.980477585148439e-08,1.0866039048648883,4.126815117897839e-08
rastrigin,40,0.0,lr_adapt_proxy,100,396.62080226754233,353.90750358683704,-48.635598400018836,0.79,0.21,2.9955051713902096e-10,0.8923069631332831,4.4932577570853147e-10
rastrigin,40,0.0,pop4x,100,396.62080226754233,415.1374724309164,19.383902555150343,0.27,0.73,1.982468565713322e-06,1.0466860791403563,2.5952315769338034e-06
rastrigin,40,0.1,lr_adapt_proxy,100,395.9868836951423,354.87574947824635,-33.24604973960339,0.81,0.19,6.092187697490645e-09,0.8961805657973608,8.77275028438653e-09
rastrigin,40,0.1,pop4x,100,395.9868836951423,409.36189601089933,16.712430233077725,0.34,0.66,3.454898661607989e-06,1.033776402367039,4.442012564924557e-06
rastrigin,40,0.2,lr_adapt_proxy,100,398.0030655310753,357.45903069909775,-36.96853760624393,0.73,0.27,2.701284296002611e-08,0.8981313503757122,3.813577829650745e-08
rastrigin,40,0.2,pop4x,100,398.0030655310753,413.85029071693987,17.612330897700815,0.32,0.68,2.6499653532351623e-05,1.039816842025372,3.233856024286978e-05
rosenbrock,10,0.0,lr_adapt_proxy,100,7.963584578782786,10.280012411408856,2.1667428996053584,0.26,0.74,2.8586825773647623e-05,1.290877532562118,3.430419092837715e-05
rosenbrock,10,0.0,pop4x,100,7.963584578782786,68.50870628113951,57.835627676016614,0.05,0.95,4.405428848631553e-15,8.60274736877484,7.73636285613346e-15
rosenbrock,10,0.1,lr_adapt_proxy,100,8.307753329260235,10.507173976304056,2.0156707156372624,0.26,0.74,0.00015334083624479915,1.2647431332966248,0.00017524666999405616
rosenbrock,10,0.1,pop4x,100,8.307753329260235,67.64716605306853,56.37846725962532,0.07,0.93,2.47205818888879e-15,8.142654622978819,4.94411637777758e-15
rosenbrock,10,0.2,lr_adapt_proxy,100,8.057731884500688,10.436536924421238,1.9687512311536386,0.25,0.75,8.866282125739412e-05,1.2952201778389103,0.0001029632762989093
