run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,phasewall_strength,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,phasewall_mean_scale_last,duration_sec
79,tune_baseline,vanilla_cma,sphere,20,0.1,38,1000,10,0.0,ok,,1000,100,-0.051593449059747,1.0,0.0,1.0,0.03918600082397461
80,tune_baseline,vanilla_cma,sphere,20,0.1,39,1000,10,0.0,ok,,1000,100,-0.12295429252320407,1.0,0.0,1.0,0.0375518798828125
81,tune_baseline,vanilla_cma,rosenbrock,10,0.1,0,1000,10,0.0,ok,,1000,100,10.652183032572584,1.0,0.0,1.0,0.035325050354003906
82,tune_baseline,vanilla_cma,rosenbrock,10,0.1,1,1000,10,0.0,ok,,1000,100,9.024239367902183,1.0,0.0,1.0,0.03416109085083008
83,tune_baseline,vanilla_cma,rosenbrock,10,0.1,2,1000,10,0.0,ok,,1000,100,8.953906138782735,1.0,0.0,1.0,0.03521108627319336
84,tune_baseline,vanilla_cma,rosenbrock,10,0.1,3,1000,10,0.0,ok,,1000,100,49.226072405965745,1.0,0.0,1.0,0.0357050895690918
85,tune_baseline,vanilla_cma,rosenbrock,10,0.1,4,1000,10,0.0,ok,,1000,100,9.061791521107926,1.0,0.0,1.0,0.03596210479736328
86,tune_baseline,vanilla_cma,rosenbrock,10,0.1,5,1000,10,0.0,ok,,1000,100,7.822628744125327,1.0,0.0,1.0,0.07336997985839844
87,tune_baseline,vanilla_cma,rosenbrock,10,0.1,6,1000,10,0.0,ok,,1000,100,7.398658890579465,1.0,0.0,1.0,0.09961819648742676
88,tune_baseline,vanilla_cma,rosenbrock,10,0.1,7,1000,10,0.0,ok,,1000,100,104.98238864930678,1.0,0.0,1.0,0.09838199615478516
89,tune_baseline,vanilla_cma,rosenbrock,10,0.1,8,1000,10,0.0,ok,,1000,100,8.424147474878584,1.0,0.0,1.0,0.10216999053955078
90,tune_baseline,vanilla_cma,rosenbrock,10,0.1,9,1000,10,0.0,ok,,1000,100,7.121018837025162,1.0,0.0,1.0,0.09409499168395996
91,tune_baseline,vanilla_cma,rosenbrock,10,0.1,10,1000,10,0.0,ok,,1000,100,9.348555357923058,1.0,0.0,1.0,0.10019302368164062
92,tune_baseline,vanilla_cma,rosenbrock,10,0.1,11,1000,10,0.0,ok,,1000,100,8.07474510198044,1.0,0.0,1.0,0.09154391288757324
93,tune_baseline,vanilla_cma,rosenbrock,10,0.1,12,1000,10,0.0,ok,,1000,100,6.1255294454357685,1.0,0.0,1.0,0.09778118133544922
94,tune_baseline,vanilla_cma,rosenbrock,10,0.1,13,1000,10,0.0,ok,,1000,100,8.218896566476475,1.0,0.0,1.0,0.09381508827209473
95,tune_baseline,vanilla_cma,rosenbrock,10,0.1,14,1000,10,0.0,ok,,1000,100,7.254815285340455,1.0,0.0,1.0,0.10022401809692383
96,tune_baseline,vanilla_cma,rosenbrock,10,0.1,15,1000,10,0.0,ok,,1000,100,9.020516704030776,1.0,0.0,1.0,0.12318110466003418
97,tune_baseline,vanilla_cma,rosenbrock,10,0.1,16,1000,10,0.0,ok,,1000,100,7.413729955401258,1.0,0.0,1.0,0.12205004692077637
98,tune_baseline,vanilla_cma,rosenbrock,10,0.1,17,1000,10,0.0,ok,,1000,100,6.296149437062534,1.0,0.0,1.0,0.12030696868896484
99,tune_baseline,vanilla_cma,rosenbrock,10,0.1,18,1000,10,0.0,ok,,1000,100,135.36492650729647,1.0,0.0,1.0,0.1507418155670166
100,tune_baseline,vanilla_cma,rosenbrock,10,0.1,19,1000,10,0.0,ok,,1000,100,8.887675871577017,1.0,0.0,1.0,0.1152029037475586
101,tune_baseline,vanilla_cma,rosenbrock,10,0.1,20,1000,10,0.0,ok,,1000,100,8.371129578620671,1.0,0.0,1.0,0.11371803283691406
102,tune_baseline,vanilla_cma,rosenbrock,10,0.1,21,1000,10,0.0,ok,,1000,100,10.202563466083227,1.0,0.0,1.0,0.10114789009094238
103,tune_baseline,vanilla_cma,rosenbrock,10,0.1,22,1000,10,0.0,ok,,1000,100,7.791370524947071,1.0,0.0,1.0,0.10154604911804199
104,tune_baseline,vanilla_cma,rosenbrock,10,0.1,23,1000,10,0.0,ok,,1000,100,8.64386017325024,1.0,0.0,1.0,0.10800504684448242
105,tune_baseline,vanilla_cma,rosenbrock,10,0.1,24,1000,10,0.0,ok,,1000,100,260.4472895147575,1.0,0.0,1.0,0.1474916934967041
106,tune_baseline,vanilla_cma,rosenbrock,10,0.1,25,1000,10,0.0,ok,,1000,100,9.27761801132855,1.0,0.0,1.0,0.11228680610656738
107,tune_baseline,vanilla_cma,rosenbrock,10,0.1,26,1000,10,0.0,ok,,1000,100,9.032862257693631,1.0,0.0,1.0,0.10397911071777344
108,tune_baseline,vanilla_cma,rosenbrock,10,0.1,27,1000,10,0.0,ok,,1000,100,9.363487878797283,1.0,0.0,1.0,0.10669088363647461
109,tune_baseline,vanilla_cma,rosenbrock,10,0.1,28,1000,10,0.0,ok,,1000,100,7.346309123090282,1.0,0.0,1.0,0.09808683395385742
110,tune_baseline,vanilla_cma,rosenbrock,10,0.1,29,1000,10,0.0,ok,,1000,100,16.233067024041294,1.0,0.0,1.0,0.10186219215393066
111,tune_baseline,vanilla_cma,rosenbrock,10,0.1,30,1000,10,0.0,ok,,1000,100,6.4182518607011385,1.0,0.0,1.0,0.15283894538879395
112,tune_baseline,vanilla_cma,rosenbrock,10,0.1,31,1000,10,0.0,ok,,1000,100,9.451252682131393,1.0,0.0,1.0,0.09785318374633789
113,tune_baseline,vanilla_cma,rosenbrock,10,0.1,32,1000,10,0.0,ok,,1000,100,6.64222322272673,1.0,0.0,1.0,0.37859487533569336
114,tune_baseline,vanilla_cma,rosenbrock,10,0.1,33,1000,10,0.0,ok,,1000,100,9.193807618939879,1.0,0.0,1.0,0.1564490795135498
115,tune_baseline,vanilla_cma,rosenbrock,10,0.1,34,1000,10,0.0,ok,,1000,100,90.49962164060058,1.0,0.0,1.0,0.10218429565429688
116,tune_baseline,vanilla_cma,rosenbrock,10,0.1,35,1000,10,0.0,ok,,1000,100,109.58038336688357,1.0,0.0,1.0,0.11253595352172852
117,tune_baseline,vanilla_cma,rosenbrock,10,0.1,36,1000,10,0.0,ok,,1000,100,9.068117911009464,1.0,0.0,1.0,0.11481904983520508
118,tune_baseline,vanilla_cma,rosenbrock,10,0.1,37,1000,10,0.0,ok,,1000,100,9.129050427466861,1.0,0.0,1.0,0.09023308753967285
119,tune_baseline,vanilla_cma,rosenbrock,10,0.1,38,1000,10,0.0,ok,,1000,100,7.686623850429063,1.0,0.0,1.0,0.10030174255371094
120,tune_baseline,vanilla_cma,rosenbrock,10,0.1,39,1000,10,0.0,ok,,1000,100,8.460301426301546,1.0,0.0,1.0,0.10061907768249512
121,tune_baseline,vanilla_cma,rosenbrock,20,0.1,0,1000,10,0.0,ok,,1000,100,131.25965950489348,1.0,0.0,1.0,0.1190338134765625
122,tune_baseline,vanilla_cma,rosenbrock,20,0.1,1,1000,10,0.0,ok,,1000,100,159.04701759714396,1.0,0.0,1.0,0.09970879554748535
123,tune_baseline,vanilla_cma,rosenbrock,20,0.1,2,1000,10,0.0,ok,,1000,100,35.92227480881064,1.0,0.0,1.0,0.10258817672729492
124,tune_baseline,vanilla_cma,rosenbrock,20,0.1,3,1000,10,0.0,ok,,1000,100,153.15623975739885,1.0,0.0,1.0,0.11055898666381836
125,tune_baseline,vanilla_cma,rosenbrock,20,0.1,4,1000,10,0.0,ok,,1000,100,23.170432584830557,1.0,0.0,1.0,0.10817408561706543
126,tune_baseline,vanilla_cma,rosenbrock,20,0.1,5,1000,10,0.0,ok,,1000,100,111.03924436659368,1.0,0.0,1.0,0.13763880729675293
